      Unix Time              Julian Date        RA      BorS            DEC     MSDPK                   DETPOW             MEANPOW       FINECHAN       COARCHID          ifreq
     1433869475           2457183.250000   6.12414         0        12.4576         0        2094442112.000000     91659520.000000          44276             67        315.912
     1433869475           2457183.250000   6.12414         0        12.4576         0        2398840832.000000     58707200.000000          56174            151        325.109
     1433869475           2457183.250000   6.12414         0        12.4576         0       35494379520.000000    116576920.000000              0            252        336.109
     1433869475           2457183.250000   6.12414         0        12.4576         0        2651366400.000000     88120064.000000          25475            252        336.131
     1433869475           2457183.250000   6.12414         1        12.4576         0        3356381440.000000    107682304.000000          44277             67        315.912
     1433869475           2457183.250000   6.12414         1        12.4576         0      680289304576.000000    439330752.000000              0            252        336.109
     1433869475           2457183.250000   6.12258         2        12.5584         0        8871426048.000000    171424256.000000          44276             67        315.912
     1433869475           2457183.250000   6.12258         2        12.5584         0        5729025024.000000    171568128.000000          44277             67        315.912
     1433869475           2457183.250000   6.12258         2        12.5584         0        3452828416.000000    172520192.000000          22230            212        331.753
     1433869475           2457183.250000   6.12258         2        12.5584         0     1001936912384.000000    669971584.000000              0            252        336.109
     1433869475           2457183.250000   6.12258         3        12.5584         0       15479646208.000000    192134656.000000          44276             67        315.912
     1433869475           2457183.250000   6.12258         3        12.5584         0        5563263488.000000    192070144.000000          44277             67        315.912
     1433869475           2457183.250000   6.12258         3        12.5584         0        6627357184.000000    124682752.000000          56174            151        325.109
     1433869475           2457183.250000   6.12258         3        12.5584         0       87226925056.000000    261729920.000000              0            252        336.109
     1433869475           2457183.250000   6.11774         4        12.5006         0        3159855360.000000    133480192.000000          44276             67        315.912
     1433869475           2457183.250000   6.11774         4        12.5006         0        4223852032.000000     97200128.000000          56174            151        325.109
     1433869475           2457183.250000   6.11774         4        12.5006         0      179674038272.000000    249787776.000000              0            252        336.109
     1433869475           2457183.250000   6.11774         5        12.5006         0        1448729856.000000     68958720.000000          44265             67        315.912
     1433869475           2457183.250000   6.11774         5        12.5006         0        1548407936.000000     68867712.000000          44276             67        315.912
     1433869475           2457183.250000   6.11774         5        12.5006         0        1700884224.000000     68841856.000000          44277             67        315.912
     1433869475           2457183.250000   6.11774         5        12.5006         0      983955931136.000000    561901376.000000              0            252        336.109
     1433869475           2457183.250000   6.11928         6        12.4002         0        7485255680.000000    188936704.000000          56174            151        325.109
     1433869475           2457183.250000   6.11928         6        12.4002         0      290028748800.000000    441370592.000000              0            252        336.109
     1433869475           2457183.250000   6.11928         7        12.4002         0        1660323328.000000     81350400.000000          44277             67        315.912
     1433869475           2457183.250000   6.11928         7        12.4002         0        1488166784.000000     62510336.000000          56174            151        325.109
     1433869475           2457183.250000   6.11928         7        12.4002         0       15531809792.000000    117171584.000000              0            252        336.109
     1433869475           2457183.250000   6.12568         8         12.357         0        2294424576.000000     37577344.000000          56174            151        325.109
     1433869475           2457183.250000   6.12568         8         12.357         0      327567867904.000000    216589216.000000              0            252        336.109
     1433869475           2457183.250000   6.12568         9         12.357         0        3691926272.000000    146849104.000000              0             28        311.609
     1433869475           2457183.250000   6.12568         9         12.357         0        4128251136.000000    113345024.000000          44276             67        315.912
     1433869475           2457183.250000   6.12568         9         12.357         0        6005631488.000000    113333504.000000          44277             67        315.912
     1433869475           2457183.250000   6.12568         9         12.357         0        2861650176.000000     86253312.000000          56174            151        325.109
     1433869475           2457183.250000   6.12568         9         12.357         0      128828399616.000000    212801728.000000              0            252        336.109
     1433869475           2457183.250000   6.13051        10        12.4148         0        6439839232.000000    217931776.000000         120048            150        3908.94
     1433869475           2457183.250000   6.13051        10        12.4148         0       17382852608.000000    129051136.000000          56174            151        325.109
     1433869475           2457183.250000   6.13051        10        12.4148         0        4272804096.000000    119683584.000000          56174            152        325.219
     1433869475           2457183.250000   6.13051        10        12.4148         0      743993114624.000000    546573440.000000              0            252        336.109
     1433869475           2457183.250000   6.13051        11        12.4148         0        3637506816.000000    157563648.000000          44265             67        315.912
     1433869475           2457183.250000   6.13051        11        12.4148         0        3330145280.000000    158137600.000000          44275             67        315.912
     1433869475           2457183.250000   6.13051        11        12.4148         0       14456347648.000000    158177280.000000          44277             67        315.912
     1433869475           2457183.250000   6.13051        11        12.4148         0        8475763200.000000     95099648.000000          56174            151        325.109
     1433869475           2457183.250000   6.13051        11        12.4148         0        3993558528.000000     94294528.000000          56174            152        325.219
     1433869475           2457183.250000   6.13051        11        12.4148         0        5898752512.000000    152112128.000000          22585            197        330.113
     1433869475           2457183.250000   6.13051        11        12.4148         0      249424281600.000000    300440544.000000              0            252        336.109
     1433869475           2457183.250000   6.13051        11        12.4148         0        1764785792.000000     78339584.000000          75877            310        3926.41
     1433869475           2457183.250000   6.12895        12        12.5158         0        2324050176.000000    107581952.000000         120048            150        3908.94
     1433869475           2457183.250000   6.12895        12        12.5158         0        3548127488.000000     58886656.000000          56174            151        325.109
     1433869475           2457183.250000   6.12895        12        12.5158         0        1521396480.000000     59568384.000000          56174            152        325.219
     1433869475           2457183.250000   6.12895        12        12.5158         0       14948074496.000000    104157376.000000          22585            197        330.113
     1433869475           2457183.250000   6.12895        12        12.5158         0        3098304768.000000    104162112.000000          22586            197        330.113
     1433869475           2457183.250000   6.12895        12        12.5158         0       53303005184.000000    120961984.000000              0            252        336.109
     1433869475           2457183.250000   6.12895        13        12.5158         0        4252304384.000000    154359136.000000              0             28        311.609
     1433869475           2457183.250000   6.12895        13        12.5158         0        4276607232.000000    108675328.000000          44277             67        315.912
     1433869475           2457183.250000   6.12895        13        12.5158         0        4324483584.000000     71652864.000000          56174            151        325.109
     1433869475           2457183.250000   6.12895        13        12.5158         0        1408648064.000000     67785472.000000          56174            152        325.219
     1433869475           2457183.250000   6.12895        13        12.5158         0      780487491584.000000    508705504.000000              0            252        336.109
     1433869476           2457183.250000   6.12442         0        12.4576         0        5006747136.000000     61135104.000000          56174            151        325.109
     1433869476           2457183.250000   6.12442         0        12.4576         0       44343758848.000000    116138648.000000              0            252        336.109
     1433869476           2457183.250000   6.12442         1        12.4576         0        2624506368.000000     70440448.000000          56174            151        325.109
     1433869476           2457183.250000   6.12442         1        12.4576         0      676418748416.000000    433485600.000000              0            252        336.109
     1433869476           2457183.250000   6.12286         2        12.5584         0        6183749120.000000    110627328.000000          56174            151        325.109
     1433869476           2457183.250000   6.12286         2        12.5584         0        2581367296.000000    107184128.000000          56174            152        325.219
